epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,318.333,0.66406,0.39189,0.95787,0.9957,0.99395,0.99487,0.87408,0.54636,0.30133,0.90053,0.0015842,0.0015842,0.0015842
44,325.527,0.64262,0.38916,0.94613,0.99539,0.99571,0.99496,0.86847,0.56121,0.28828,0.91176,0.0015743,0.0015743,0.0015743
45,332.517,0.61778,0.3683,0.94313,0.99917,0.99571,0.995,0.88027,0.54526,0.29141,0.90282,0.0015644,0.0015644,0.0015644
46,339.429,0.64267,0.37045,0.95582,0.99145,0.99543,0.995,0.86693,0.57837,0.3165,0.91664,0.0015545,0.0015545,0.0015545
47,346.618,0.65214,0.39126,0.95639,0.99094,0.99571,0.99496,0.88052,0.53443,0.29223,0.89713,0.0015446,0.0015446,0.0015446
48,353.761,0.63089,0.37942,0.95085,0.97641,0.99571,0.99422,0.87548,0.54643,0.29685,0.90082,0.0015347,0.0015347,0.0015347
49,361.092,0.64281,0.37808,0.95255,0.99571,0.99506,0.995,0.87891,0.56086,0.29199,0.89376,0.0015248,0.0015248,0.0015248
50,368.488,0.61183,0.36165,0.94007,0.99548,0.98712,0.99483,0.88322,0.52677,0.29387,0.90192,0.0015149,0.0015149,0.0015149
51,375.9,0.62917,0.37139,0.9494,0.99533,0.98712,0.99483,0.88604,0.5155,0.28709,0.88948,0.001505,0.001505,0.001505
52,383.321,0.62071,0.36589,0.93609,0.9949,0.99571,0.99496,0.87703,0.51536,0.2934,0.89413,0.0014951,0.0014951,0.0014951
53,390.702,0.61939,0.36572,0.93415,0.99922,0.99142,0.995,0.87859,0.52973,0.28538,0.8954,0.0014852,0.0014852,0.0014852
54,398.145,0.63765,0.36312,0.9471,0.99571,0.99504,0.99483,0.88774,0.50693,0.2774,0.88438,0.0014753,0.0014753,0.0014753
55,405.508,0.61061,0.35057,0.9456,0.99523,0.99571,0.995,0.88823,0.5048,0.26906,0.88761,0.0014654,0.0014654,0.0014654
56,412.682,0.61836,0.36374,0.94083,0.99571,0.99504,0.99491,0.88432,0.50098,0.27576,0.87295,0.0014555,0.0014555,0.0014555
57,419.571,0.61556,0.37272,0.94749,0.99446,0.99142,0.99496,0.88055,0.52833,0.27598,0.88153,0.0014456,0.0014456,0.0014456
58,426.57,0.61357,0.35777,0.93246,0.99569,0.99121,0.99483,0.87704,0.54113,0.28738,0.89001,0.0014357,0.0014357,0.0014357
59,433.779,0.58373,0.34336,0.92676,0.99922,0.99571,0.995,0.89651,0.48033,0.25632,0.86762,0.0014258,0.0014258,0.0014258
60,441.579,0.58978,0.35439,0.92887,0.99846,0.99142,0.995,0.89098,0.51127,0.27581,0.86242,0.0014159,0.0014159,0.0014159
61,449.332,0.57858,0.34501,0.9171,0.99508,0.99571,0.99496,0.89797,0.48306,0.24895,0.87456,0.001406,0.001406,0.001406
62,456.82,0.58227,0.34825,0.92315,0.99922,0.99571,0.995,0.89704,0.48573,0.26365,0.87389,0.0013961,0.0013961,0.0013961
63,464.487,0.57087,0.33427,0.9211,0.99934,0.99571,0.995,0.89003,0.51166,0.26109,0.88515,0.0013862,0.0013862,0.0013862
64,471.762,0.59196,0.34699,0.93125,0.99532,0.99142,0.99496,0.87953,0.5228,0.27975,0.89032,0.0013763,0.0013763,0.0013763
65,479.169,0.58046,0.3422,0.92748,1,0.99469,0.995,0.88788,0.51449,0.26148,0.90021,0.0013664,0.0013664,0.0013664
66,486.804,0.56357,0.33731,0.9131,0.99955,0.99571,0.995,0.89457,0.49913,0.26639,0.8754,0.0013565,0.0013565,0.0013565
67,494.38,0.5924,0.34871,0.92214,0.99463,1,0.995,0.88434,0.49049,0.26731,0.87965,0.0013466,0.0013466,0.0013466
68,501.812,0.55953,0.32256,0.91575,1,0.99571,0.995,0.88621,0.50653,0.26226,0.89485,0.0013367,0.0013367,0.0013367
69,508.716,0.57224,0.3392,0.92973,0.99918,0.99571,0.995,0.89254,0.47707,0.25689,0.87816,0.0013268,0.0013268,0.0013268
70,515.723,0.56122,0.32727,0.92367,1,0.99547,0.995,0.89787,0.47448,0.24915,0.87547,0.0013169,0.0013169,0.0013169
71,523.004,0.56893,0.33138,0.92292,1,0.99948,0.995,0.88471,0.51912,0.27049,0.87512,0.001307,0.001307,0.001307
72,530.388,0.55725,0.33139,0.91028,0.99949,1,0.995,0.88865,0.50178,0.25991,0.87673,0.0012971,0.0012971,0.0012971
73,537.975,0.54605,0.32057,0.90627,1,0.99474,0.995,0.9092,0.4701,0.24687,0.87503,0.0012872,0.0012872,0.0012872
74,546.067,0.55063,0.32607,0.91861,0.99957,0.99571,0.995,0.90351,0.46883,0.24722,0.86902,0.0012773,0.0012773,0.0012773
75,554.043,0.53847,0.31623,0.91356,0.9999,0.99571,0.995,0.90244,0.46863,0.24521,0.87192,0.0012674,0.0012674,0.0012674
76,561.976,0.53727,0.30689,0.90449,1,0.99138,0.995,0.89506,0.46929,0.24455,0.86753,0.0012575,0.0012575,0.0012575
77,569.768,0.55428,0.32978,0.91599,0.99931,0.99571,0.995,0.88487,0.53703,0.26841,0.89222,0.0012476,0.0012476,0.0012476
78,577.4,0.56667,0.33206,0.92697,1,0.99433,0.995,0.90127,0.47484,0.25488,0.87263,0.0012377,0.0012377,0.0012377
79,585.226,0.56319,0.33003,0.923,0.99571,0.99517,0.99496,0.898,0.4666,0.25769,0.87714,0.0012278,0.0012278,0.0012278
80,592.873,0.53871,0.31944,0.91732,0.99933,0.99571,0.995,0.89544,0.46286,0.24403,0.87045,0.0012179,0.0012179,0.0012179
81,600.722,0.54055,0.32856,0.91746,0.99969,0.99571,0.995,0.90883,0.46204,0.24826,0.87034,0.001208,0.001208,0.001208
82,608.547,0.53795,0.31639,0.91093,0.99962,0.99571,0.995,0.9019,0.44735,0.24218,0.85585,0.0011981,0.0011981,0.0011981
83,616.053,0.53253,0.3119,0.9082,1,0.99547,0.995,0.91129,0.43498,0.22979,0.86134,0.0011882,0.0011882,0.0011882
84,623.525,0.53169,0.31764,0.90587,0.9957,0.99443,0.99491,0.90827,0.45688,0.25173,0.85734,0.0011783,0.0011783,0.0011783
85,631.147,0.52436,0.30934,0.91262,0.99522,1,0.995,0.89944,0.45976,0.23734,0.87057,0.0011684,0.0011684,0.0011684
86,638.841,0.54263,0.31809,0.92316,0.99546,0.99571,0.995,0.90696,0.47436,0.2498,0.88305,0.0011585,0.0011585,0.0011585
87,646.596,0.52437,0.31407,0.90487,0.99573,0.99993,0.995,0.91749,0.44199,0.23847,0.85972,0.0011486,0.0011486,0.0011486
88,654.242,0.53589,0.31115,0.90934,0.99958,0.99142,0.995,0.90485,0.45876,0.24536,0.85511,0.0011387,0.0011387,0.0011387
89,662.207,0.51192,0.30439,0.89833,0.99572,0.9993,0.99491,0.90946,0.44281,0.24216,0.85632,0.0011288,0.0011288,0.0011288
90,670.071,0.51979,0.30461,0.8985,0.99573,0.99995,0.995,0.90057,0.46733,0.23824,0.8677,0.0011189,0.0011189,0.0011189
91,677.74,0.51693,0.29995,0.90153,0.99977,0.99571,0.995,0.91835,0.44274,0.22817,0.85835,0.001109,0.001109,0.001109
92,685.403,0.51937,0.30048,0.90059,0.99976,0.99571,0.995,0.91866,0.41998,0.22329,0.85304,0.0010991,0.0010991,0.0010991
93,692.912,0.49856,0.2964,0.89574,0.99921,0.99571,0.995,0.91021,0.45179,0.23769,0.86092,0.0010892,0.0010892,0.0010892
94,700.363,0.49826,0.29521,0.89739,0.999,1,0.995,0.91918,0.43026,0.22514,0.85391,0.0010793,0.0010793,0.0010793
95,707.819,0.49274,0.29352,0.88832,0.99946,0.99571,0.995,0.91411,0.43393,0.22958,0.8496,0.0010694,0.0010694,0.0010694
96,715.385,0.51903,0.30673,0.907,0.9957,0.99492,0.99496,0.9121,0.43886,0.23799,0.84987,0.0010595,0.0010595,0.0010595
97,722.732,0.49751,0.2921,0.89987,1,0.99965,0.995,0.92456,0.41891,0.22905,0.83679,0.0010496,0.0010496,0.0010496
98,729.902,0.513,0.31206,0.90415,0.99961,0.99571,0.995,0.91195,0.43927,0.23064,0.8571,0.0010397,0.0010397,0.0010397
99,737.453,0.51491,0.29957,0.90691,0.9996,0.99571,0.995,0.91782,0.42503,0.23188,0.85182,0.0010298,0.0010298,0.0010298
100,745.358,0.49573,0.28909,0.89981,0.99956,0.99571,0.995,0.91003,0.45535,0.23355,0.86275,0.0010199,0.0010199,0.0010199
101,753.351,0.50187,0.29694,0.89492,0.99675,0.99142,0.995,0.91577,0.42493,0.22881,0.85673,0.00101,0.00101,0.00101
102,761.085,0.48528,0.29395,0.89268,0.99571,0.99529,0.995,0.90688,0.44899,0.23816,0.86592,0.0010001,0.0010001,0.0010001
103,768.88,0.48477,0.2888,0.89825,0.99549,0.99571,0.995,0.91783,0.42972,0.22597,0.86417,0.0009902,0.0009902,0.0009902
104,776.66,0.49474,0.29092,0.8906,1,0.99486,0.995,0.92516,0.41554,0.22515,0.84783,0.0009803,0.0009803,0.0009803
105,784.531,0.49466,0.29752,0.90066,0.99573,0.99975,0.995,0.90672,0.42955,0.23025,0.84762,0.0009704,0.0009704,0.0009704
106,792.222,0.49096,0.28958,0.8869,0.99942,0.99571,0.995,0.91051,0.42915,0.22429,0.85065,0.0009605,0.0009605,0.0009605
107,799.813,0.47241,0.2776,0.88554,0.99941,0.99571,0.995,0.91763,0.42869,0.22402,0.85144,0.0009506,0.0009506,0.0009506
108,807.327,0.48334,0.27953,0.89185,1,0.99543,0.995,0.91264,0.4197,0.21732,0.85164,0.0009407,0.0009407,0.0009407
109,814.747,0.48074,0.27311,0.88704,0.99528,1,0.995,0.91598,0.41801,0.22055,0.84884,0.0009308,0.0009308,0.0009308
110,822.303,0.48104,0.28384,0.89035,0.9954,1,0.99496,0.9199,0.41029,0.21739,0.84261,0.0009209,0.0009209,0.0009209
111,829.884,0.47446,0.26923,0.88327,0.99952,0.99571,0.995,0.92157,0.40943,0.21689,0.83868,0.000911,0.000911,0.000911
112,837.511,0.46626,0.27329,0.88253,0.99573,0.99971,0.995,0.92736,0.40105,0.20847,0.84828,0.0009011,0.0009011,0.0009011
113,845.353,0.4691,0.27085,0.88444,0.99547,1,0.99496,0.92064,0.4118,0.21445,0.84892,0.0008912,0.0008912,0.0008912
114,853.163,0.47763,0.27221,0.88764,0.99529,0.99571,0.995,0.92707,0.41359,0.21877,0.84592,0.0008813,0.0008813,0.0008813
115,860.909,0.47604,0.27326,0.88701,0.99948,0.99571,0.995,0.92444,0.4133,0.21451,0.85256,0.0008714,0.0008714,0.0008714
116,868.337,0.4685,0.28028,0.88073,0.99527,1,0.995,0.91817,0.41203,0.21062,0.85681,0.0008615,0.0008615,0.0008615
117,875.414,0.45689,0.26942,0.88664,1,0.99928,0.995,0.92375,0.40152,0.20204,0.85718,0.0008516,0.0008516,0.0008516
118,882.876,0.45579,0.26754,0.88277,1,0.99981,0.995,0.92804,0.41174,0.21009,0.86364,0.0008417,0.0008417,0.0008417
119,890.416,0.4519,0.25916,0.88053,0.99974,0.99571,0.995,0.92938,0.39228,0.20053,0.85426,0.0008318,0.0008318,0.0008318
120,897.232,0.45491,0.26559,0.88392,1,0.9945,0.995,0.9198,0.39718,0.2066,0.85208,0.0008219,0.0008219,0.0008219
121,904.554,0.46922,0.27666,0.8887,0.99965,0.99571,0.995,0.92148,0.41027,0.21613,0.84935,0.000812,0.000812,0.000812
122,912.403,0.46429,0.27314,0.88482,0.99149,0.99983,0.995,0.91861,0.40928,0.21589,0.8548,0.0008021,0.0008021,0.0008021
123,920.413,0.46021,0.27261,0.88219,1,0.99556,0.995,0.91631,0.41547,0.21034,0.86491,0.0007922,0.0007922,0.0007922
