epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,1417.69,0.34902,0.21318,0.84483,0.99979,0.99571,0.995,0.95367,0.33189,0.1697,0.82575,0.0001586,0.0001586,0.0001586
188,1425.39,0.3661,0.22209,0.85495,0.9998,0.99571,0.995,0.95173,0.33152,0.16518,0.82551,0.0001487,0.0001487,0.0001487
189,1433.23,0.33553,0.20167,0.84967,0.9998,0.99571,0.995,0.95015,0.33203,0.16357,0.82496,0.0001388,0.0001388,0.0001388
190,1441.25,0.34022,0.21206,0.84437,0.9998,0.99571,0.995,0.94756,0.33715,0.16656,0.82779,0.0001289,0.0001289,0.0001289
191,1511.51,0.28862,0.17058,0.80874,1,0.99536,0.995,0.94419,0.33345,0.17004,0.82884,0.000119,0.000119,0.000119
192,1518.5,0.27233,0.15813,0.80557,1,0.99567,0.995,0.94665,0.33388,0.17003,0.82849,0.0001091,0.0001091,0.0001091
193,1525.33,0.26624,0.15867,0.79577,0.99977,0.99571,0.995,0.94867,0.32933,0.16875,0.82784,9.92e-05,9.92e-05,9.92e-05
194,1532.41,0.27022,0.15673,0.79522,0.99967,0.99571,0.995,0.94624,0.32911,0.16652,0.82692,8.93e-05,8.93e-05,8.93e-05
195,1539.8,0.274,0.16027,0.79548,0.99967,0.99571,0.995,0.94683,0.32759,0.16529,0.82525,7.94e-05,7.94e-05,7.94e-05
196,1547.2,0.26949,0.15468,0.79116,0.9997,0.99571,0.995,0.94975,0.32496,0.1637,0.82383,6.95e-05,6.95e-05,6.95e-05
197,1554.62,0.26486,0.15313,0.79174,0.99962,0.99571,0.995,0.94884,0.326,0.16665,0.82542,5.96e-05,5.96e-05,5.96e-05
198,1561.63,0.26224,0.15477,0.78742,0.99965,0.99571,0.995,0.94842,0.32929,0.16657,0.82751,4.97e-05,4.97e-05,4.97e-05
199,1568.51,0.26286,0.15616,0.79147,0.99967,0.99571,0.995,0.95114,0.3273,0.16445,0.82617,3.98e-05,3.98e-05,3.98e-05
200,1575.7,0.26449,0.15601,0.79572,0.99966,0.99571,0.995,0.94929,0.32611,0.16265,0.82533,2.99e-05,2.99e-05,2.99e-05
